年,地區,土地面積,年底戶數,年底人口數,戶量,人口密度,年齡 0~14歲,年齡 15~64歲,年齡 65歲以上,年齡 0~14歲,年齡 15~64歲,年齡 65歲以上,扶養比例,年底人口數 男性,年底人口數 女性
2015,臺北市,271.7997,1043948,2704810,2.59,9951.482654,377428,1928200,399182,13.9539561,71.28781689,14.75822701,40.27642361,1295462,1409348
2015,新北市,2052.5667,1510900,3970644,2.63,1934.477452,517012,3024457,429175,13.02086009,76.17043986,10.80870005,31.28452479,1951355,2019289
2015,基隆市,132.7589,150987,372105,2.46,2802.862934,41273,281698,49134,11.09176173,75.70390078,13.20433749,32.09358959,186942,185163
2015,新竹市,104.1526,157586,434060,2.75,4167.538784,76777,311711,45572,17.68810763,71.81288301,10.49900935,39.25078037,214795,219265
2015,桃園市,1220.954,750501,2105780,2.81,1724.700521,326854,1575296,203630,15.52175441,74.80819459,9.670051002,33.67519501,1053001,1052779
2015,新竹縣,1427.5369,183110,542042,2.96,379.7043705,91837,388245,61960,16.94278303,71.62636844,11.43084853,39.61338845,277417,264625
2015,宜蘭縣,2143.6251,164911,458117,2.78,213.7113435,58182,334757,65178,12.70024906,73.07238107,14.22736986,36.85061104,232217,225900
2015,臺中市,2214.8968,927901,2744445,2.96,1239.084819,411246,2050883,282316,14.98466903,74.72851524,10.28681573,33.81772632,1357014,1387431
2015,苗栗縣,1820.3149,184363,563912,3.06,309.7881581,79338,404030,80544,14.06921647,71.6477039,14.28307963,39.57181397,290726,273186
2015,彰化縣,1074.396,381888,1289072,3.38,1199.81087,178857,934430,175785,13.87486502,72.48858093,13.63655405,37.95276265,658561,630511
2015,南投縣,4106.436,176988,509490,2.88,124.0710923,60965,371016,77509,11.96588746,72.82105635,15.21305619,37.32291869,261379,248111
2015,雲林縣,1290.8326,238485,699633,2.93,542.0013408,87884,496535,115214,12.56144293,70.97078039,16.46777668,40.90305819,363832,335801
2015,高雄市,2951.8524,1072939,2778918,2.59,941.4149569,349587,2078883,350448,12.57996817,74.80908037,12.61095146,33.67361222,1380989,1397929
2015,臺南市,2191.6531,672325,1885541,2.8,860.3282153,240620,1398127,246794,12.7613242,74.14991241,13.08876338,34.86192599,943804,941737
2015,嘉義市,60.0256,98702,270366,2.74,4504.178217,39605,196327,34434,14.64866144,72.61526967,12.73606888,37.71208239,131907,138459
2015,嘉義縣,1903.6367,181969,519839,2.86,273.0767903,55736,374260,89843,10.72178117,71.9953678,17.28285104,38.89782504,270681,249158
2015,屏東縣,2775.6003,284445,841253,2.96,303.0886688,97079,622278,121896,11.53981026,73.97037514,14.4898146,35.18925625,430925,410328
2015,澎湖縣,126.8641,38612,102304,2.65,806.4062252,11692,75504,15108,11.42868314,73.80356584,14.76775102,35.49480822,52769,49535
2015,花蓮縣,4628.5714,124956,331945,2.66,71.71651279,42148,243096,46701,12.69728419,73.23381886,14.06889696,36.5489354,169335,162610
2015,臺東縣,3515.2526,82326,222452,2.7,63.28193883,28236,162132,32084,12.69307536,72.8840379,14.42288674,37.20425332,115174,107278
2015,福建省,180.456,41136,145346,3.533304162,805.4373365,15424,113850,16072,10.61191914,78.33032901,11.05775185,27.66447079,73762,71584
2015,金門縣,151.656,38588,132799,3.44,875.659387,13853,104105,14841,10.43155445,78.39290959,11.17553596,27.56255703,66591,66208
2015,連江縣,28.8,2548,12547,4.92,435.6597222,1571,9745,1231,12.52092134,77.66796844,9.811110226,28.75320677,7171,5376
